Neuron_example,Neuron_1,Neuron_2,
-4.01,4.33,5.60,
-4.11,4.19,5.42,
-4.19,4.04,5.23,
-4.26,3.86,5.01,
-4.32,3.68,4.79,
-4.36,3.48,4.56,
-4.40,3.28,4.33,
-4.42,3.06,4.10,
-4.43,2.84,3.88,
-4.43,2.60,3.66,
-4.43,2.35,3.44,
-4.41,2.09,3.22,
-4.39,1.81,3.01,
-4.36,1.51,2.80,
-4.32,1.20,2.60,
-4.27,0.85,2.39,
-4.22,0.48,2.18,
-4.17,0.07,1.97,
-4.11,-0.38,1.74,
-4.04,-0.86,1.49,
-3.97,-1.36,1.21,
-3.90,-1.88,0.86,
-3.82,-2.39,0.39,
-3.74,-2.87,-0.29,
-3.66,-3.30,-1.27,
-3.57,-3.68,-2.40,
-3.48,-3.99,-3.42,
-3.38,-4.24,-4.24,
-3.28,-4.43,-4.87,
-3.18,-4.56,-5.33,
-3.08,-4.63,-5.64,
-2.98,-4.67,-5.84,
-2.87,-4.66,-5.94,
-2.76,-4.61,-5.96,
-2.64,-4.54,-5.91,
-2.53,-4.44,-5.81,
-2.41,-4.31,-5.67,
-2.28,-4.17,-5.50,
-2.16,-4.01,-5.31,
-2.03,-3.84,-5.10,
-1.89,-3.65,-4.88,
-1.75,-3.45,-4.65,
-1.61,-3.25,-4.42,
-1.46,-3.03,-4.19,
-1.31,-2.80,-3.97,
-1.15,-2.56,-3.74,
-0.98,-2.31,-3.52,
-0.81,-2.05,-3.31,
-0.62,-1.77,-3.10,
-0.43,-1.47,-2.89,
-0.24,-1.15,-2.68,
-0.03,-0.80,-2.48,
0.19,-0.42,-2.27,
0.41,-0.01,-2.06,
0.65,0.45,-1.83,
0.89,0.93,-1.59,
1.14,1.44,-1.33,
1.39,1.96,-1.01,
1.64,2.46,-0.59,
1.90,2.94,-0.01,
2.15,3.36,0.85,
2.40,3.73,1.95,
2.64,4.03,3.03,
2.87,4.27,3.94,
3.09,4.45,4.64,
3.30,4.57,5.16,
3.49,4.64,5.53,
3.67,4.67,5.78,
3.83,4.65,5.91,
3.97,4.60,5.96,
4.10,4.52,5.93,
4.22,4.42,5.85,
4.31,4.29,5.73,
4.40,4.15,5.57,
4.47,3.99,5.39,
4.52,3.81,5.18,
4.57,3.62,4.97,
4.60,3.42,4.74,
4.62,3.22,4.51,
4.63,3.00,4.29,
4.63,2.77,4.06,
4.62,2.53,3.83,
4.60,2.27,3.61,
4.57,2.01,3.39,
4.54,1.72,3.18,
4.50,1.42,2.97,
4.45,1.10,2.76,
4.40,0.75,2.56,
4.34,0.36,2.35,
4.27,-0.06,2.14,
4.20,-0.52,1.92,
4.13,-1.00,1.69,
4.05,-1.52,1.44,
3.97,-2.03,1.14,
3.89,-2.54,0.77,
3.80,-3.00,0.27,
3.71,-3.42,-0.47,
3.61,-3.78,-1.50,
3.52,-4.07,-2.62,
3.42,-4.30,-3.60,
3.32,-4.47,-4.38,
3.21,-4.58,-4.98,
3.10,-4.65,-5.40,
2.99,-4.67,-5.69,
2.88,-4.65,-5.87,
2.76,-4.59,-5.95,
2.65,-4.51,-5.95,
2.53,-4.40,-5.89,
2.40,-4.27,-5.78,
2.27,-4.12,-5.64,
2.14,-3.96,-5.46,
2.01,-3.78,-5.26,
1.87,-3.59,-5.05,
1.73,-3.39,-4.83,
1.58,-3.18,-4.61,
1.43,-2.96,-4.38,
1.27,-2.73,-4.15,
1.10,-2.49,-3.92,
0.93,-2.24,-3.70,
0.75,-1.97,-3.48,
0.57,-1.68,-3.26,
0.37,-1.38,-3.05,
0.17,-1.05,-2.84,
-0.05,-0.69,-2.64,
-0.27,-0.30,-2.43,
-0.50,0.12,-2.22,
-0.74,0.59,-2.01,
-0.99,1.08,-1.79,
-1.24,1.59,-1.54,
-1.50,2.11,-1.26,
-1.76,2.61,-0.93,
-2.02,3.07,-0.49,
-2.27,3.48,0.14,
-2.52,3.83,1.06,
-2.76,4.11,2.18,
-2.99,4.33,3.24,
-3.20,4.49,4.10,
-3.41,4.60,4.76,
-3.59,4.65,5.25,
-3.76,4.67,5.59,
-3.92,4.64,5.81,
-4.06,4.58,5.93,
-4.18,4.50,5.96,
-4.29,4.38,5.92,
-4.38,4.25,5.83,
-4.46,4.10,5.70,
-4.53,3.94,5.53,
-4.58,3.76,5.34,
-4.61,3.57,5.14,
-4.64,3.36,4.92,
-4.66,3.15,4.70,
-4.66,2.93,4.47,
-4.66,2.70,4.24,
-4.64,2.45,4.01,
-4.62,2.20,3.79,
-4.59,1.93,3.57,
-4.55,1.64,3.35,
-4.51,1.33,3.14,
-4.46,1.00,2.93,
-4.40,0.63,2.72,
-4.34,0.24,2.51,
-4.27,-0.19,2.31,
-4.20,-0.66,2.10,
-4.12,-1.16,1.88,
-4.05,-1.67,1.64,
-3.96,-2.19,1.38,
-3.88,-2.68,1.07,
-3.79,-3.13,0.68,
-3.69,-3.53,0.14,
-3.60,-3.87,-0.66,
-3.50,-4.15,-1.74,
-3.40,-4.36,-2.84,
-3.29,-4.51,-3.78,
-3.19,-4.61,-4.52,
-3.08,-4.66,-5.08,
-2.97,-4.66,-5.47,
-2.85,-4.63,-5.74,
-2.74,-4.57,-5.89,
-2.62,-4.48,-5.95,
-2.49,-4.37,-5.94,
-2.37,-4.23,-5.87,
-2.24,-4.08,-5.76,
-2.11,-3.91,-5.60,
-1.97,-3.73,-5.42,
-1.83,-3.54,-5.22,
-1.69,-3.33,-5.01,
-1.54,-3.12,-4.79,
-1.38,-2.90,-4.56,
-1.22,-2.66,-4.33,
-1.05,-2.42,-4.10,
-0.88,-2.16,-3.87,
-0.70,-1.88,-3.65,
-0.51,-1.59,-3.43,
-0.31,-1.28,-3.22,
-0.10,-0.94,-3.01,
0.11,-0.58,-2.80,
0.34,-0.18,-2.60,
0.58,0.26,-2.39,
0.82,0.73,-2.18,
1.07,1.23,-1.97,
1.32,1.75,-1.74,
1.58,2.26,-1.49,
1.84,2.75,-1.20,
2.10,3.20,-0.85,
2.35,3.59,-0.38,
2.60,3.92,0.30,
2.83,4.18,1.29,
3.06,4.38,2.41,
3.27,4.53,3.43,
3.47,4.62,4.25,
3.65,4.66,4.88,
3.82,4.66,5.33,
3.97,4.63,5.65,
4.10,4.56,5.84,
4.22,4.46,5.94,
4.33,4.35,5.95,
4.41,4.21,5.91,
4.49,4.05,5.81,
4.55,3.88,5.67,
4.59,3.70,5.50,
4.63,3.51,5.30,
4.65,3.30,5.09,
4.66,3.09,4.87,
4.67,2.86,4.65,
4.66,2.63,4.42,
4.64,2.38,4.19,
4.62,2.12,3.96,
4.58,1.84,3.74,
4.54,1.55,3.52,
4.50,1.23,3.30,
4.44,0.89,3.09,
4.39,0.52,2.88,
4.32,0.12,2.68,
4.25,-0.33,2.47,
4.18,-0.80,2.26,
4.10,-1.31,2.05,
4.02,-1.82,1.83,
3.94,-2.34,1.59,
3.85,-2.82,1.32,
3.76,-3.26,1.00,
3.67,-3.64,0.59,
3.57,-3.96,0.00,
3.47,-4.22,-0.87,
3.37,-4.41,-1.97,
3.26,-4.55,-3.05,
3.16,-4.63,-3.95,
3.05,-4.66,-4.65,
2.93,-4.66,-5.17,
2.82,-4.62,-5.54,
2.70,-4.55,-5.78,
2.58,-4.45,-5.91,
2.46,-4.33,-5.96,
2.33,-4.19,-5.93,
2.20,-4.03,-5.85,
2.07,-3.86,-5.73,
1.93,-3.67,-5.57,
1.79,-3.48,-5.38,
1.64,-3.27,-5.18,
1.49,-3.05,-4.96,
1.34,-2.83,-4.74,
1.17,-2.59,-4.51,
1.00,-2.34,-4.28,
0.83,-2.08,-4.05,
0.64,-1.80,-3.83,
0.45,-1.50,-3.61,
0.25,-1.18,-3.39,
0.04,-0.84,-3.18,
-0.18,-0.46,-2.97,
-0.41,-0.05,-2.76,
-0.65,0.39,-2.55,
-0.89,0.88,-2.35,
-1.14,1.38,-2.14,
-1.40,1.90,-1.92,
-1.66,2.41,-1.69,
-1.92,2.89,-1.43,
-2.18,3.32,-1.14,
-2.43,3.69,-0.77,
-2.67,4.00,-0.26,
-2.90,4.25,0.48,
-3.13,4.43,1.52,
-3.33,4.56,2.64,
-3.53,4.64,3.62,
-3.70,4.67,4.39,
-3.87,4.66,4.98,
-4.01,4.61,5.41,
-4.14,4.53,5.70,
-4.26,4.43,5.87,
-4.35,4.31,5.95,
-4.44,4.16,5.95,
-4.51,4.00,5.89,
-4.56,3.83,5.78,
-4.61,3.64,5.63,
-4.64,3.45,5.46,
-4.66,3.24,5.26,
-4.67,3.02,5.05,
-4.67,2.79,4.83,
-4.65,2.55,4.60,
-4.64,2.30,4.37,
-4.61,2.04,4.14,
-4.57,1.76,3.92,
-4.53,1.46,3.69,
-4.48,1.13,3.48,
-4.43,0.79,3.26,
-4.37,0.40,3.05,
-4.30,-0.01,2.84,
-4.23,-0.46,2.64,
-4.16,-0.95,2.43,
-4.08,-1.46,2.22,
-4.00,-1.98,2.01,
-3.91,-2.48,1.78,
-3.82,-2.96,1.54,
-3.73,-3.38,1.26,
-3.64,-3.74,0.92,
-3.54,-4.04,0.48,
-3.44,-4.28,-0.15,
-3.34,-4.46,-1.08,
-3.23,-4.58,-2.20,
-3.12,-4.64,-3.25,
-3.01,-4.67,-4.11,
-2.90,-4.65,-4.77,
-2.78,-4.60,-5.26,
-2.67,-4.52,-5.60,
-2.55,-4.41,-5.81,
-2.42,-4.29,-5.93,
-2.29,-4.14,-5.96,
-2.16,-3.98,-5.92,
-2.03,-3.80,-5.83,
-1.89,-3.62,-5.70,
-1.75,-3.42,-5.53,
-1.60,-3.21,-5.34,
-1.45,-2.99,-5.14,
-1.29,-2.76,-4.92,
-1.12,-2.52,-4.69,
-0.95,-2.26,-4.46,
-0.77,-2.00,-4.23,
-0.59,-1.71,-4.01,
-0.39,-1.41,-3.78,
-0.19,-1.08,-3.56,
0.03,-0.73,-3.34,
0.25,-0.35,-3.13,
0.48,0.08,-2.92,
0.72,0.53,-2.72,
0.97,1.02,-2.51,
1.22,1.54,-2.30,
1.48,2.05,-2.09,
1.74,2.56,-1.87,
2.00,3.02,-1.64,
2.25,3.44,-1.38,
2.50,3.79,-1.07,
2.74,4.08,-0.68,
2.97,4.31,-0.13,
3.19,4.48,0.68,
3.39,4.59,1.75,
3.58,4.65,2.85,
3.75,4.67,3.79,
3.91,4.65,4.53,
4.05,4.59,5.08,
4.18,4.51,5.48,
4.29,4.40,5.74,
4.38,4.27,5.89,
4.46,4.12,5.95,
4.53,3.95,5.94,
4.58,3.78,5.87,
4.62,3.59,5.75,
4.65,3.39,5.60,
4.66,3.18,5.42,
4.67,2.95,5.22,
4.66,2.72,5.00,
4.65,2.48,4.78,
4.63,2.23,4.55,
4.60,1.96,4.33,
4.56,1.67,4.10,
4.52,1.36,3.87,
4.47,1.03,3.65,
4.41,0.68,3.43,
4.35,0.28,3.22,
4.28,-0.14,3.01,
4.21,-0.60,2.80,
4.14,-1.10,2.59,
4.06,-1.61,2.39,
3.97,-2.13,2.18,
3.89,-2.63,1.96,
3.80,-3.09,1.73,
