QUIESCENT_cell,ALMOSTOSC_cell,OSCILLATORY_cell,PLATEAU_cell,
-0.01,0.02,0.89,4.66,
-0.01,0.02,1.14,4.66,
-0.01,0.01,1.39,4.66,
-0.01,0.01,1.64,4.66,
-0.01,0.01,1.90,4.66,
-0.01,0.01,2.15,4.66,
-0.01,0.01,2.40,4.66,
-0.01,0.01,2.64,4.66,
-0.01,0.01,2.87,4.66,
-0.01,0.01,3.09,4.66,
-0.01,0.01,3.30,4.66,
-0.01,0.00,3.49,4.66,
-0.01,0.00,3.67,4.65,
-0.01,0.00,3.83,4.65,
-0.01,0.00,3.97,4.65,
-0.01,-0.00,4.10,4.65,
-0.01,-0.00,4.22,4.65,
-0.01,-0.00,4.31,4.65,
-0.01,-0.00,4.40,4.65,
-0.01,-0.00,4.47,4.65,
-0.01,-0.01,4.52,4.65,
-0.01,-0.01,4.57,4.65,
-0.01,-0.01,4.60,4.65,
-0.01,-0.01,4.62,4.65,
-0.01,-0.01,4.63,4.65,
-0.01,-0.01,4.63,4.65,
-0.01,-0.01,4.62,4.65,
-0.01,-0.01,4.60,4.65,
-0.01,-0.01,4.57,4.65,
-0.01,-0.01,4.54,4.65,
-0.01,-0.01,4.50,4.64,
-0.01,-0.01,4.45,4.64,
-0.01,-0.01,4.40,4.64,
-0.01,-0.02,4.34,4.64,
-0.01,-0.02,4.27,4.64,
-0.01,-0.02,4.20,4.64,
-0.01,-0.02,4.13,4.64,
-0.01,-0.02,4.05,4.64,
-0.01,-0.02,3.97,4.64,
-0.01,-0.02,3.89,4.64,
-0.01,-0.02,3.80,4.64,
-0.01,-0.02,3.71,4.64,
-0.01,-0.02,3.61,4.64,
-0.01,-0.02,3.52,4.64,
-0.01,-0.02,3.42,4.64,
-0.01,-0.02,3.32,4.64,
-0.01,-0.02,3.21,4.64,
-0.01,-0.02,3.10,4.64,
-0.01,-0.02,2.99,4.64,
-0.01,-0.02,2.88,4.64,
-0.01,-0.02,2.76,4.63,
-0.01,-0.02,2.65,4.63,
-0.01,-0.02,2.53,4.63,
-0.00,-0.02,2.40,4.63,
-0.00,-0.02,2.27,4.63,
-0.00,-0.02,2.14,4.63,
-0.00,-0.02,2.01,4.63,
-0.00,-0.02,1.87,4.63,
-0.00,-0.02,1.73,4.63,
-0.00,-0.01,1.58,4.63,
-0.00,-0.01,1.43,4.63,
-0.00,-0.01,1.27,4.63,
-0.00,-0.01,1.10,4.63,
-0.00,-0.01,0.93,4.63,
-0.00,-0.01,0.75,4.63,
-0.00,-0.01,0.57,4.63,
-0.00,-0.01,0.37,4.63,
-0.00,-0.01,0.17,4.63,
-0.00,-0.01,-0.05,4.63,
-0.00,-0.01,-0.27,4.63,
-0.00,-0.01,-0.50,4.63,
-0.00,-0.01,-0.74,4.63,
-0.00,-0.01,-0.99,4.63,
-0.00,-0.01,-1.24,4.62,
-0.00,-0.01,-1.50,4.62,
-0.00,-0.00,-1.76,4.62,
-0.00,-0.00,-2.02,4.62,
-0.00,-0.00,-2.27,4.62,
-0.00,-0.00,-2.52,4.62,
-0.00,-0.00,-2.76,4.62,
-0.00,-0.00,-2.99,4.62,
-0.00,-0.00,-3.20,4.62,
-0.00,0.00,-3.41,4.62,
-0.00,0.00,-3.59,4.62,
-0.00,0.00,-3.76,4.62,
-0.00,0.00,-3.92,4.62,
-0.00,0.00,-4.06,4.62,
-0.00,0.00,-4.18,4.62,
-0.00,0.00,-4.29,4.62,
-0.00,0.00,-4.38,4.62,
-0.00,0.01,-4.46,4.62,
-0.00,0.01,-4.53,4.62,
-0.00,0.01,-4.58,4.62,
-0.00,0.01,-4.61,4.62,
-0.00,0.01,-4.64,4.62,
-0.00,0.01,-4.66,4.62,
-0.00,0.01,-4.66,4.62,
-0.00,0.01,-4.66,4.62,
-0.00,0.01,-4.64,4.61,
-0.00,0.01,-4.62,4.61,
-0.00,0.01,-4.59,4.61,
-0.00,0.01,-4.55,4.61,
-0.00,0.01,-4.51,4.61,
-0.00,0.01,-4.46,4.61,
-0.00,0.01,-4.40,4.61,
-0.00,0.01,-4.34,4.61,
-0.00,0.01,-4.27,4.61,
-0.00,0.01,-4.20,4.61,
-0.00,0.01,-4.12,4.61,
-0.00,0.01,-4.05,4.61,
-0.00,0.01,-3.96,4.61,
-0.00,0.01,-3.88,4.61,
-0.00,0.01,-3.79,4.61,
-0.00,0.01,-3.69,4.61,
-0.00,0.01,-3.60,4.61,
-0.00,0.01,-3.50,4.61,
-0.00,0.01,-3.40,4.61,
-0.00,0.01,-3.29,4.61,
-0.00,0.01,-3.19,4.61,
-0.00,0.01,-3.08,4.61,
-0.00,0.01,-2.97,4.61,
-0.00,0.01,-2.85,4.61,
-0.00,0.01,-2.74,4.61,
-0.00,0.01,-2.62,4.61,
-0.00,0.01,-2.49,4.61,
-0.00,0.01,-2.37,4.61,
-0.00,0.01,-2.24,4.61,
-0.00,0.01,-2.11,4.60,
-0.00,0.01,-1.97,4.60,
-0.00,0.01,-1.83,4.60,
-0.00,0.01,-1.69,4.60,
-0.00,0.01,-1.54,4.60,
-0.00,0.01,-1.38,4.60,
-0.00,0.01,-1.22,4.60,
-0.00,0.01,-1.05,4.60,
-0.00,0.01,-0.88,4.60,
-0.00,0.00,-0.70,4.60,
-0.00,0.00,-0.51,4.60,
-0.00,0.00,-0.31,4.60,
-0.00,0.00,-0.10,4.60,
-0.00,0.00,0.11,4.60,
-0.00,0.00,0.34,4.60,
-0.00,0.00,0.58,4.60,
-0.00,0.00,0.82,4.60,
-0.00,0.00,1.07,4.60,
-0.00,0.00,1.32,4.60,
-0.00,0.00,1.58,4.60,
-0.00,0.00,1.84,4.60,
-0.00,-0.00,2.10,4.60,
-0.00,-0.00,2.35,4.60,
-0.00,-0.00,2.60,4.60,
-0.00,-0.00,2.83,4.60,
-0.00,-0.00,3.06,4.60,
-0.00,-0.00,3.27,4.60,
-0.00,-0.00,3.47,4.60,
-0.00,-0.00,3.65,4.60,
-0.00,-0.00,3.82,4.60,
-0.00,-0.00,3.97,4.60,
-0.00,-0.00,4.10,4.60,
-0.00,-0.00,4.22,4.60,
-0.00,-0.00,4.33,4.60,
-0.00,-0.00,4.41,4.59,
-0.00,-0.01,4.49,4.59,
-0.00,-0.01,4.55,4.59,
-0.00,-0.01,4.59,4.59,
-0.00,-0.01,4.63,4.59,
-0.00,-0.01,4.65,4.59,
-0.00,-0.01,4.66,4.59,
-0.00,-0.01,4.67,4.59,
-0.00,-0.01,4.66,4.59,
-0.00,-0.01,4.64,4.59,
-0.00,-0.01,4.62,4.59,
-0.00,-0.01,4.58,4.59,
-0.00,-0.01,4.54,4.59,
-0.00,-0.01,4.50,4.59,
-0.00,-0.01,4.44,4.59,
-0.00,-0.01,4.39,4.59,
-0.00,-0.01,4.32,4.59,
-0.00,-0.01,4.25,4.59,
-0.00,-0.01,4.18,4.59,
-0.00,-0.01,4.10,4.59,
-0.00,-0.01,4.02,4.59,
-0.00,-0.01,3.94,4.59,
-0.00,-0.01,3.85,4.59,
-0.00,-0.01,3.76,4.59,
-0.00,-0.01,3.67,4.59,
-0.00,-0.01,3.57,4.59,
-0.00,-0.01,3.47,4.59,
-0.00,-0.01,3.37,4.59,
-0.00,-0.01,3.26,4.59,
-0.00,-0.01,3.16,4.59,
-0.00,-0.01,3.05,4.59,
-0.00,-0.01,2.93,4.59,
-0.00,-0.01,2.82,4.59,
-0.00,-0.01,2.70,4.59,
-0.00,-0.00,2.58,4.59,
-0.00,-0.00,2.46,4.59,
-0.00,-0.00,2.33,4.59,
-0.00,-0.00,2.20,4.59,
-0.00,-0.00,2.07,4.59,
-0.00,-0.00,1.93,4.59,
-0.00,-0.00,1.79,4.59,
-0.00,-0.00,1.64,4.59,
-0.00,-0.00,1.49,4.58,
-0.00,-0.00,1.34,4.58,
-0.00,-0.00,1.17,4.58,
-0.00,-0.00,1.00,4.58,
-0.00,-0.00,0.83,4.58,
-0.00,-0.00,0.64,4.58,
-0.00,-0.00,0.45,4.58,
-0.00,-0.00,0.25,4.58,
-0.00,-0.00,0.04,4.58,
-0.00,-0.00,-0.18,4.58,
-0.00,-0.00,-0.41,4.58,
-0.00,0.00,-0.65,4.58,
-0.00,0.00,-0.89,4.58,
-0.00,0.00,-1.14,4.58,
-0.00,0.00,-1.40,4.58,
-0.00,0.00,-1.66,4.58,
-0.00,0.00,-1.92,4.58,
-0.00,0.00,-2.18,4.58,
-0.00,0.00,-2.43,4.58,
-0.00,0.00,-2.67,4.58,
-0.00,0.00,-2.90,4.58,
-0.00,0.00,-3.13,4.58,
-0.00,0.00,-3.33,4.58,
-0.00,0.00,-3.53,4.58,
-0.00,0.00,-3.70,4.58,
-0.00,0.00,-3.87,4.58,
-0.00,0.00,-4.01,4.58,
-0.00,0.00,-4.14,4.58,
-0.00,0.00,-4.26,4.58,
-0.00,0.00,-4.35,4.58,
-0.00,0.00,-4.44,4.58,
-0.00,0.00,-4.51,4.58,
-0.00,0.00,-4.56,4.58,
-0.00,0.00,-4.61,4.58,
-0.00,0.00,-4.64,4.58,
-0.00,0.00,-4.66,4.58,
-0.00,0.00,-4.67,4.58,
-0.00,0.00,-4.67,4.58,
-0.00,0.00,-4.65,4.58,
-0.00,0.00,-4.64,4.58,
-0.00,0.00,-4.61,4.58,
-0.00,0.00,-4.57,4.58,
-0.00,0.00,-4.53,4.58,
-0.00,0.00,-4.48,4.58,
-0.00,0.00,-4.43,4.58,
-0.00,0.00,-4.37,4.58,
-0.00,0.00,-4.30,4.58,
-0.00,0.00,-4.23,4.58,
-0.00,0.00,-4.16,4.58,
-0.00,0.00,-4.08,4.58,
-0.00,0.00,-4.00,4.58,
-0.00,0.00,-3.91,4.58,
-0.00,0.00,-3.82,4.58,
-0.00,0.00,-3.73,4.58,
-0.00,0.00,-3.64,4.57,
-0.00,0.00,-3.54,4.57,
-0.00,0.00,-3.44,4.57,
-0.00,0.00,-3.34,4.57,
-0.00,0.00,-3.23,4.57,
-0.00,0.00,-3.12,4.57,
-0.00,0.00,-3.01,4.57,
-0.00,0.00,-2.90,4.57,
-0.00,0.00,-2.78,4.57,
-0.00,0.00,-2.67,4.57,
-0.00,0.00,-2.55,4.57,
-0.00,0.00,-2.42,4.57,
-0.00,0.00,-2.29,4.57,
-0.00,0.00,-2.16,4.57,
