Q,A,O,P
-0.02,-0.07,-0.85,4.89,
-0.02,-0.07,-0.77,4.89,
-0.02,-0.07,-0.69,4.88,
-0.02,-0.07,-0.60,4.88,
-0.02,-0.07,-0.50,4.88,
-0.02,-0.07,-0.41,4.88,
-0.02,-0.07,-0.30,4.88,
-0.01,-0.07,-0.19,4.88,
-0.01,-0.07,-0.08,4.87,
-0.01,-0.07,0.04,4.87,
-0.01,-0.06,0.16,4.87,
-0.01,-0.06,0.29,4.87,
-0.01,-0.06,0.42,4.87,
-0.01,-0.06,0.56,4.87,
-0.01,-0.06,0.70,4.87,
-0.01,-0.06,0.85,4.86,
-0.01,-0.05,1.00,4.86,
-0.01,-0.05,1.15,4.86,
-0.01,-0.05,1.31,4.86,
-0.01,-0.05,1.46,4.86,
-0.01,-0.05,1.62,4.86,
-0.01,-0.04,1.78,4.85,
-0.01,-0.04,1.93,4.85,
-0.01,-0.04,2.08,4.85,
-0.01,-0.04,2.22,4.85,
-0.01,-0.03,2.37,4.85,
-0.01,-0.03,2.50,4.85,
-0.01,-0.03,2.63,4.85,
-0.01,-0.02,2.75,4.84,
-0.01,-0.02,2.86,4.84,
-0.01,-0.02,2.96,4.84,
-0.01,-0.02,3.06,4.84,
-0.01,-0.01,3.15,4.84,
-0.01,-0.01,3.22,4.84,
-0.01,-0.01,3.29,4.83,
-0.01,-0.01,3.35,4.83,
-0.01,-0.00,3.40,4.83,
-0.01,-0.00,3.44,4.83,
-0.01,0.00,3.47,4.83,
-0.01,0.00,3.50,4.83,
-0.01,0.01,3.51,4.83,
-0.01,0.01,3.52,4.82,
-0.01,0.01,3.52,4.82,
-0.01,0.01,3.52,4.82,
-0.01,0.02,3.51,4.82,
-0.01,0.02,3.49,4.82,
-0.01,0.02,3.46,4.82,
-0.01,0.02,3.43,4.82,
-0.01,0.02,3.39,4.81,
-0.01,0.03,3.35,4.81,
-0.01,0.03,3.31,4.81,
-0.01,0.03,3.26,4.81,
-0.01,0.03,3.20,4.81,
-0.01,0.03,3.14,4.81,
-0.01,0.03,3.08,4.81,
-0.01,0.04,3.01,4.80,
-0.01,0.04,2.94,4.80,
-0.01,0.04,2.86,4.80,
-0.01,0.04,2.78,4.80,
-0.01,0.04,2.70,4.80,
-0.01,0.04,2.61,4.80,
-0.01,0.04,2.52,4.80,
-0.01,0.04,2.43,4.80,
-0.01,0.04,2.33,4.79,
-0.01,0.04,2.23,4.79,
-0.01,0.04,2.13,4.79,
-0.01,0.04,2.02,4.79,
-0.01,0.04,1.91,4.79,
-0.01,0.04,1.79,4.79,
-0.01,0.04,1.67,4.79,
-0.01,0.04,1.54,4.78,
-0.01,0.04,1.41,4.78,
-0.01,0.04,1.28,4.78,
-0.01,0.04,1.14,4.78,
-0.01,0.04,0.99,4.78,
-0.01,0.04,0.84,4.78,
-0.01,0.04,0.67,4.78,
-0.01,0.04,0.51,4.78,
-0.01,0.04,0.33,4.77,
-0.01,0.04,0.15,4.77,
-0.01,0.04,-0.05,4.77,
-0.01,0.04,-0.25,4.77,
-0.01,0.03,-0.45,4.77,
-0.01,0.03,-0.67,4.77,
-0.01,0.03,-0.89,4.77,
-0.01,0.03,-1.12,4.77,
-0.01,0.03,-1.36,4.77,
-0.01,0.03,-1.59,4.76,
-0.01,0.03,-1.83,4.76,
-0.01,0.02,-2.06,4.76,
-0.01,0.02,-2.29,4.76,
-0.01,0.02,-2.52,4.76,
-0.01,0.02,-2.73,4.76,
-0.01,0.02,-2.94,4.76,
-0.01,0.02,-3.13,4.76,
-0.01,0.01,-3.31,4.76,
-0.01,0.01,-3.48,4.75,
-0.01,0.01,-3.64,4.75,
-0.01,0.01,-3.78,4.75,
-0.01,0.01,-3.90,4.75,
-0.01,0.01,-4.01,4.75,
-0.01,0.00,-4.11,4.75,
-0.01,0.00,-4.19,4.75,
-0.01,0.00,-4.26,4.75,
-0.01,-0.00,-4.32,4.75,
-0.01,-0.00,-4.36,4.74,
-0.01,-0.00,-4.40,4.74,
-0.01,-0.01,-4.42,4.74,
-0.00,-0.01,-4.43,4.74,
-0.00,-0.01,-4.43,4.74,
-0.00,-0.01,-4.43,4.74,
-0.00,-0.01,-4.41,4.74,
-0.00,-0.01,-4.39,4.74,
-0.00,-0.01,-4.36,4.74,
-0.00,-0.02,-4.32,4.74,
-0.00,-0.02,-4.27,4.73,
-0.00,-0.02,-4.22,4.73,
-0.00,-0.02,-4.17,4.73,
-0.00,-0.02,-4.11,4.73,
-0.00,-0.02,-4.04,4.73,
-0.00,-0.02,-3.97,4.73,
-0.00,-0.02,-3.90,4.73,
-0.00,-0.02,-3.82,4.73,
-0.00,-0.02,-3.74,4.73,
-0.00,-0.02,-3.66,4.73,
-0.00,-0.03,-3.57,4.72,
-0.00,-0.03,-3.48,4.72,
-0.00,-0.03,-3.38,4.72,
-0.00,-0.03,-3.28,4.72,
-0.00,-0.03,-3.18,4.72,
-0.00,-0.03,-3.08,4.72,
-0.00,-0.03,-2.98,4.72,
-0.00,-0.03,-2.87,4.72,
-0.00,-0.03,-2.76,4.72,
-0.00,-0.03,-2.64,4.72,
-0.00,-0.03,-2.53,4.72,
-0.00,-0.03,-2.41,4.71,
-0.00,-0.03,-2.28,4.71,
-0.00,-0.03,-2.16,4.71,
-0.00,-0.03,-2.03,4.71,
-0.00,-0.03,-1.89,4.71,
-0.00,-0.03,-1.75,4.71,
-0.00,-0.03,-1.61,4.71,
-0.00,-0.02,-1.46,4.71,
-0.00,-0.02,-1.31,4.71,
-0.00,-0.02,-1.15,4.71,
-0.00,-0.02,-0.98,4.71,
-0.00,-0.02,-0.81,4.70,
-0.00,-0.02,-0.62,4.70,
-0.00,-0.02,-0.43,4.70,
-0.00,-0.02,-0.24,4.70,
-0.00,-0.02,-0.03,4.70,
-0.00,-0.02,0.19,4.70,
-0.00,-0.02,0.41,4.70,
-0.00,-0.02,0.65,4.70,
-0.00,-0.02,0.89,4.70,
-0.00,-0.01,1.14,4.70,
-0.00,-0.01,1.39,4.70,
-0.00,-0.01,1.64,4.70,
-0.00,-0.01,1.90,4.70,
-0.00,-0.01,2.15,4.69,
-0.00,-0.01,2.40,4.69,
-0.00,-0.01,2.64,4.69,
-0.00,-0.01,2.87,4.69,
-0.00,-0.01,3.09,4.69,
-0.00,-0.00,3.30,4.69,
-0.00,-0.00,3.49,4.69,
-0.00,-0.00,3.67,4.69,
-0.00,-0.00,3.83,4.69,
-0.00,-0.00,3.97,4.69,
-0.00,0.00,4.10,4.69,
-0.00,0.00,4.22,4.69,
-0.00,0.00,4.31,4.69,
-0.00,0.00,4.40,4.68,
-0.00,0.00,4.47,4.68,
-0.00,0.01,4.52,4.68,
-0.00,0.01,4.57,4.68,
-0.00,0.01,4.60,4.68,
-0.00,0.01,4.62,4.68,
-0.00,0.01,4.63,4.68,
-0.00,0.01,4.63,4.68,
-0.00,0.01,4.62,4.68,
-0.00,0.01,4.60,4.68,
-0.00,0.01,4.57,4.68,
-0.00,0.01,4.54,4.68,
-0.00,0.01,4.50,4.68,
-0.00,0.01,4.45,4.68,
-0.00,0.01,4.40,4.67,
-0.00,0.01,4.34,4.67,
-0.00,0.01,4.27,4.67,
-0.00,0.02,4.20,4.67,
-0.00,0.02,4.13,4.67,
-0.00,0.02,4.05,4.67,
-0.00,0.02,3.97,4.67,
-0.00,0.02,3.89,4.67,
-0.00,0.02,3.80,4.67,
-0.00,0.02,3.71,4.67,
-0.00,0.02,3.61,4.67,
-0.00,0.02,3.52,4.67,
-0.00,0.02,3.42,4.67,
-0.00,0.02,3.32,4.67,
-0.00,0.02,3.21,4.67,
-0.00,0.02,3.10,4.66,
-0.00,0.02,2.99,4.66,
-0.00,0.02,2.88,4.66,
-0.00,0.02,2.76,4.66,
-0.00,0.02,2.65,4.66,
-0.00,0.02,2.53,4.66,
-0.00,0.02,2.40,4.66,
-0.00,0.02,2.27,4.66,
-0.00,0.02,2.14,4.66,
-0.00,0.01,2.01,4.66,
-0.00,0.01,1.87,4.66,
-0.00,0.01,1.73,4.66,
-0.00,0.01,1.58,4.66,
-0.00,0.01,1.43,4.66,
-0.00,0.01,1.27,4.66,
-0.00,0.01,1.10,4.66,
-0.00,0.01,0.93,4.65,
-0.00,0.01,0.75,4.65,
-0.00,0.01,0.57,4.65,
-0.00,0.01,0.37,4.65,
-0.00,0.01,0.17,4.65,
-0.00,0.01,-0.05,4.65,
-0.00,0.01,-0.27,4.65,
-0.00,0.01,-0.50,4.65,
-0.00,0.01,-0.74,4.65,
-0.00,0.01,-0.99,4.65,
-0.00,0.01,-1.24,4.65,
-0.00,0.00,-1.50,4.65,
-0.00,0.00,-1.76,4.65,
-0.00,0.00,-2.02,4.65,
-0.00,0.00,-2.27,4.65,
-0.00,0.00,-2.52,4.65,
-0.00,0.00,-2.76,4.65,
-0.00,0.00,-2.99,4.65,
-0.00,-0.00,-3.20,4.64,
-0.00,-0.00,-3.41,4.64,
-0.00,-0.00,-3.59,4.64,
-0.00,-0.00,-3.76,4.64,
-0.00,-0.00,-3.92,4.64,
-0.00,-0.00,-4.06,4.64,
-0.00,-0.00,-4.18,4.64,
-0.00,-0.00,-4.29,4.64,
-0.00,-0.00,-4.38,4.64,
-0.00,-0.01,-4.46,4.64,
-0.00,-0.01,-4.53,4.64,
-0.00,-0.01,-4.58,4.64,
-0.00,-0.01,-4.61,4.64,
-0.00,-0.01,-4.64,4.64,
-0.00,-0.01,-4.66,4.64,
-0.00,-0.01,-4.66,4.64,
-0.00,-0.01,-4.66,4.64,
-0.00,-0.01,-4.64,4.64,
-0.00,-0.01,-4.62,4.64,
-0.00,-0.01,-4.59,4.64,
-0.00,-0.01,-4.55,4.63,
-0.00,-0.01,-4.51,4.63,
-0.00,-0.01,-4.46,4.63,
-0.00,-0.01,-4.40,4.63,
-0.00,-0.01,-4.34,4.63,
-0.00,-0.01,-4.27,4.63,
-0.00,-0.01,-4.20,4.63,
-0.00,-0.01,-4.12,4.63,
-0.00,-0.01,-4.05,4.63,
-0.00,-0.01,-3.96,4.63,
-0.00,-0.01,-3.88,4.63,
-0.00,-0.01,-3.79,4.63,
-0.00,-0.01,-3.69,4.63,
-0.00,-0.01,-3.60,4.63,
-0.00,-0.01,-3.50,4.63,
-0.00,-0.01,-3.40,4.63,
-0.00,-0.01,-3.29,4.63,
-0.00,-0.01,-3.19,4.63,
-0.00,-0.01,-3.08,4.63,
-0.00,-0.01,-2.97,4.63,
-0.00,-0.01,-2.85,4.63,
-0.00,-0.01,-2.74,4.63,
-0.00,-0.01,-2.62,4.63,
-0.00,-0.01,-2.49,4.62,
-0.00,-0.01,-2.37,4.62,
-0.00,-0.01,-2.24,4.62,
-0.00,-0.01,-2.11,4.62,
-0.00,-0.01,-1.97,4.62,
-0.00,-0.01,-1.83,4.62,
-0.00,-0.01,-1.69,4.62,
-0.00,-0.01,-1.54,4.62,
-0.00,-0.01,-1.38,4.62,
-0.00,-0.01,-1.22,4.62,
-0.00,-0.01,-1.05,4.62,
-0.00,-0.00,-0.88,4.62,
-0.00,-0.00,-0.70,4.62,
-0.00,-0.00,-0.51,4.62,
-0.00,-0.00,-0.31,4.62,
-0.00,-0.00,-0.10,4.62,
-0.00,-0.00,0.11,4.62,
-0.00,-0.00,0.34,4.62,
-0.00,-0.00,0.58,4.62,
-0.00,-0.00,0.82,4.62,
-0.00,-0.00,1.07,4.62,
-0.00,-0.00,1.32,4.62,
-0.00,-0.00,1.58,4.62,
-0.00,-0.00,1.84,4.62,
-0.00,0.00,2.10,4.62,
-0.00,0.00,2.35,4.61,
-0.00,0.00,2.60,4.61,
-0.00,0.00,2.83,4.61,
-0.00,0.00,3.06,4.61,
-0.00,0.00,3.27,4.61,
-0.00,0.00,3.47,4.61,
-0.00,0.00,3.65,4.61,
-0.00,0.00,3.82,4.61,
-0.00,0.00,3.97,4.61,
-0.00,0.00,4.10,4.61,
-0.00,0.00,4.22,4.61,
